"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.491440,0.491440,0.491440
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",65.454286%,65.454286%,65.454286%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",5.689495,5.689495,5.689495
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",45.216836%,45.216836%,45.216836%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",9.572607%,9.572607%,9.572607%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.305565,0.305565,0.305565
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",90.956476%,90.956476%,90.956476%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",10.711651,10.711651,10.711651
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",27.216050%,27.216050%,27.216050%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",16.987332%,16.987332%,16.987332%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.386154%,1.386154%,1.386154%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.488441,0.488441,0.488441
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",64.618088%,64.618088%,64.618088%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",5.179609,5.179609,5.179609
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",39.432095%,39.432095%,39.432095%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",9.967301%,9.967301%,9.967301%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",22.856709%,22.856709%,22.856709%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.306190,0.306190,0.306190
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",10.818430%,10.818430%,10.818430%
