"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"GeForce GTX 1080 Ti (0)","void at::native::upsample_bilinear2d_out_frame_batch_norm_collect_statistics_kernel_100<float, float, at::native::InvStd, float, float, float, int>(int, float, at::native::upsample_bilinear2d_out_frame_batch_norm_collect_statistics_kernel_100<float, float, at::native::InvStd, float, float, float, int>, bool, at::PackedTensorAccessor<float, unsigned long=4, at::DefaultPtrTraits, long>, at::DefaultPtrTraits, float, float, float, float, float, float, float)",1,"elapsed_cycles_pm",250622863,250622863,250622863,250622863
"GeForce GTX 1080 Ti (0)","_ZN2at6native58kernelHistogram1D_batch_norm_collect_statistics_kernel_100IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZNS0_17_histc_cuda_fusedIffiEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_dEUllE_NS0_6InvStdEfffiEEvNS_4cuda6detail10TensorInfoIS9_T1_EESH_NSF_IT0_SG_EEiSI_SI_SG_T6_NS_20PackedTensorAccessorIT8_Lm3ENS_17RestrictPtrTraitsET11_EET10_SQ_NSL_IT9_Lm1ESN_SO_EESS_NSL_ISQ_Lm1ESN_SO_EEST_",1,"elapsed_cycles_pm",238323285,238323285,238323285,238323285
"GeForce GTX 1080 Ti (0)","void at::native::batch_norm_collect_statistics_kernel<at::native::InvStd, float, float, float, int>(at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, at::native::batch_norm_collect_statistics_kernel<at::native::InvStd<float, unsigned long=1, float, at::RestrictPtrTraits>, float, float, float, int>, float, at::native::batch_norm_collect_statistics_kernel<at::native::InvStd<at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, unsigned long=1, float, at::RestrictPtrTraits>, float, float, float, int>, at::native::batch_norm_collect_statistics_kernel<at::native::InvStd<float, unsigned long=1, float, at::RestrictPtrTraits>, float, float, float, int>)",4,"elapsed_cycles_pm",108836484,109031802,108914770,435659083
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_MaxPoolForward_0<float, float, float>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_MaxPoolForward_0<float, float, float>*, int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::im2col_kernel_MaxPoolForward_0<float, float, float>**, long*)",1,"elapsed_cycles_pm",188273030,188273030,188273030,188273030
"GeForce GTX 1080 Ti (0)","_ZN2at6native57kernelHistogram1D_batch_norm_collect_statistics_kernel_11IfflLi1ELi2ELin1ELNS0_23CUDAHistogramMemoryTypeE0EKZNS0_17_histc_cuda_fusedIffiEESt5tupleIJNS_6TensorES5_EERKS5_lT_S9_S8_dEUllE_NS0_6InvStdEfffiEEvNS_4cuda6detail10TensorInfoIS9_T1_EESH_NSF_IT0_SG_EEiSI_SI_SG_T6_NS_20PackedTensorAccessorIT8_Lm3ENS_17RestrictPtrTraitsET11_EET10_SQ_NSL_IT9_Lm1ESN_SO_EESS_NSL_ISQ_Lm1ESN_SO_EEST_",1,"elapsed_cycles_pm",261094647,261094647,261094647,261094647
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel<float>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel<float>*)",4,"elapsed_cycles_pm",80895962,82228767,81870017,327480070
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_MaxPoolForward_100<float, float, float>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_MaxPoolForward_100<float, float, float>*, int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::im2col_kernel_MaxPoolForward_100<float, float, float>**, long*)",1,"elapsed_cycles_pm",173897985,173897985,173897985,173897985
"GeForce GTX 1080 Ti (0)","void at::native::im2col_kernel_upsample_bilinear2d_out_frame_100<float, float, float>(long, float const *, long, long, long, long, long, long, long, long, long, long, long, long, at::native::im2col_kernel_upsample_bilinear2d_out_frame_100<float, float, float>*, int, float, at::native::im2col_kernel_upsample_bilinear2d_out_frame_100<float, float, float>*, bool, at::PackedTensorAccessor<float, unsigned long=4, at::DefaultPtrTraits, long>, at::DefaultPtrTraits)",1,"elapsed_cycles_pm",223480555,223480555,223480555,223480555
"GeForce GTX 1080 Ti (0)","void at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_100<float, float, at::native::InvStd, float, float, float, int>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_100<float, float, at::native::InvStd, float, float, float, int>*, long*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, long*, float, long*, long*)",1,"elapsed_cycles_pm",202818189,202818189,202818189,202818189
"GeForce GTX 1080 Ti (0)","void at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_0<float, float, at::native::InvStd, float, float, float, int>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::MaxPoolForward_batch_norm_collect_statistics_kernel_0<float, float, at::native::InvStd, float, float, float, int>*, long*, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, float, at::PackedTensorAccessor<float, unsigned long=3, at::RestrictPtrTraits, int>, long*, float, long*, long*)",1,"elapsed_cycles_pm",190348934,190348934,190348934,190348934
